,ts,x,y,z,i,j,k,w
55,55,-0.0007493019787022863,0.0008575556747398175,0.1940592546727285,0.0019402636047779348,0.0002610370586775408,-0.00035527826681047253,0.9999980205051164
56,56,-0.0007543914851341922,0.0008626175307057599,0.19407390845402608,0.0019491851489624587,0.00023930027425848681,-0.00035619976893384707,0.9999980082651956
57,57,-0.0007591532382222456,0.0008666750469352304,0.1940872279522273,0.0019579385349810133,0.00021932476714969304,-0.000357469146073864,0.9999979952925652
58,58,-0.0007636063799424409,0.0008696081676610712,0.19409931490973892,0.001966814316547955,0.00020099364750732343,-0.000359317893732288,0.9999979810647864
59,59,-0.0007677697068051727,0.000871164207164826,0.19411023363875146,0.0019762196789047887,0.00018427544226092232,-0.0003624041619450012,0.9999979646287114
60,60,-0.0007716682591129277,0.0008707590652044854,0.19411972630423815,0.0019835683586354037,0.00016983815948723647,-0.00037066766280313267,0.9999979496064229
61,61,-0.0007754936290006072,0.0008700017737038688,0.1941282447776408,0.0019905029792001653,0.00015659011076999646,-0.00037598946861678884,0.9999979360025432
62,62,-0.0007790421957634308,0.0008690758830409278,0.19413582984479386,0.001994107983469128,0.00014366806841979574,-0.00037510574748927407,0.9999979310921172
63,63,-0.000782336657049464,0.0008682171872954491,0.1941427593237076,0.0019974324433517814,0.00013178053395788186,-0.00037431250265644085,0.9999979263916878
64,64,-0.0007853934694302786,0.0008674216525727108,0.1941490905439058,0.00200049758126086,0.00012084578210921101,-0.0003736007390044732,0.9999979219119468
65,65,-0.0007882289225074468,0.0008666852460666452,0.1941548757517423,0.0020033234288242565,0.0001107877199850312,-0.0003729624831007791,0.9999979176579854
66,66,-0.0007908582840581133,0.0008660041549817017,0.1941601625740888,0.002005928487746089,0.00010153632145050479,-0.0003723905417109179,0.9999979136311044
67,67,-0.0007932958456233331,0.0008653747798706532,0.19416499443216306,0.0020083298434306826,9.302715194778327e-05,-0.0003718784252890124,0.9999979098296286
68,68,-0.0007955549758262532,0.0008647937267695075,0.1941694109176969,0.00201054327186452,8.520092229003159e-05,-0.0003714202790836385,0.9999979062495736
69,69,-0.0007976481720108391,0.0008642577990278031,0.1941734481350092,0.0020125833386146806,7.800307796138041e-05,-0.0003710108209883257,0.9999979028851989
70,70,-0.0007995923882312676,0.000863758194228097,0.19417713671859207,0.002014479008771103,7.13698622986405e-05,-0.000370641818192912,0.9999978997004486
