x,y,z
-0.0203125,-0.0242231,0.209719
-0.0206975,-0.0245522,0.209848
-0.0210062,-0.024772,0.209954
-0.0213982,-0.0251029,0.210067
-0.0217158,-0.0253251,0.210166
-0.0221164,-0.0256423,0.210265
-0.0224453,-0.0258695,0.210354
-0.0228567,-0.0261826,0.210438
-0.0231916,-0.026407,0.210514
-0.0236112,-0.0267198,0.210581
-0.0239516,-0.0269406,0.210644
-0.0243785,-0.0272513,0.210693
-0.0247241,-0.0274702,0.210743
-0.0251578,-0.0277774,0.210775
-0.0255077,-0.0279939,0.210812
-0.0259507,-0.0282982,0.210817
-0.026298,-0.028513,0.210843
-0.026741,-0.0288183,0.210828
-0.0271021,-0.0290351,0.210841
-0.0275528,-0.0293316,0.210806
-0.0279155,-0.0295471,0.210801
-0.0283717,-0.0298425,0.210743
-0.0287332,-0.0300595,0.210721
-0.0291843,-0.0304057,0.210651
-0.0295109,-0.0306493,0.210607
-0.0299576,-0.0310139,0.210524
-0.0302915,-0.031256,0.210472
-0.0307475,-0.0316192,0.210377
-0.0310869,-0.031861,0.210315
-0.0315512,-0.032223,0.210207
-0.0318966,-0.032464,0.210136
-0.0323683,-0.0328299,0.210017
-0.0327142,-0.0330785,0.209935
-0.0331931,-0.0334467,0.209804
-0.0335443,-0.0336928,0.209713
-0.0340317,-0.0340608,0.209568
-0.0343892,-0.0343052,0.209469
-0.0348846,-0.0346709,0.209312
-0.0352448,-0.034916,0.209203
-0.0357447,-0.0352969,0.209035
-0.0361034,-0.0355519,0.208915
-0.0366101,-0.0359332,0.208735
-0.0369743,-0.0361854,0.208607
-0.0374888,-0.0365628,0.208414
-0.0378587,-0.0368121,0.208277
-0.0383794,-0.0371824,0.208079
-0.0387527,-0.0374209,0.207938
-0.0392878,-0.0377866,0.207731
-0.0396665,-0.0380227,0.207574
-0.0402026,-0.0383822,0.207361
-0.0405858,-0.0386082,0.207204
-0.0411288,-0.0389674,0.206978
-0.0415035,-0.0391792,0.206825
-0.0420442,-0.0395319,0.206603
-0.0424301,-0.0397504,0.206442
-0.0429773,-0.0401018,0.206212
-0.0433581,-0.040306,0.206055
-0.0439099,-0.0406572,0.205824
-0.0442935,-0.0408587,0.205667
-0.0448452,-0.0412001,0.205436
-0.0452283,-0.0413932,0.205279
-0.0457817,-0.0417303,0.20505
-0.0461649,-0.0419145,0.204895
-0.0467197,-0.0422493,0.204668
-0.0471038,-0.0424214,0.204516
-0.0476661,-0.0427476,0.204291
-0.0480381,-0.042904,0.204158
-0.0485857,-0.0432152,0.203938
-0.048965,-0.0433661,0.203806
-0.0494954,-0.0436715,0.203596
-0.0499007,-0.0438176,0.203466
-0.0504463,-0.044116,0.203261
-0.0508439,-0.0442492,0.203141
-0.0513757,-0.0445325,0.202948
-0.0518012,-0.0446584,0.202834
-0.0523358,-0.0449368,0.202648
-0.0527773,-0.0450548,0.202541
-0.0533085,-0.0453169,0.202362
-0.0537922,-0.0454458,0.202246
-0.0543608,-0.0456748,0.202074
-0.0548498,-0.0457791,0.201962
-0.055408,-0.0459943,0.201797
-0.0559088,-0.0461196,0.201699
-0.0564962,-0.0463345,0.201532
-0.0569957,-0.0464467,0.201448
-0.0575837,-0.0466429,0.201297
-0.0581369,-0.0467824,0.201222
-0.0587282,-0.0469721,0.201084
-0.0592921,-0.0471155,0.201018
-0.0599048,-0.0472925,0.200892
-0.0604747,-0.047447,0.200834
-0.0611058,-0.0476173,0.200718
-0.0616727,-0.0477751,0.200654
-0.0623003,-0.0479425,0.200547
-0.062876,-0.0481038,0.200482
-0.063531,-0.0482907,0.200362
-0.0640922,-0.0484601,0.200298
-0.0647308,-0.0486536,0.200183
-0.0652999,-0.0488375,0.200097
-0.0659521,-0.0490494,0.199978
-0.0664998,-0.0492447,0.199891
-0.0671593,-0.0494846,0.199761
-0.0676979,-0.0496915,0.199686
-0.068345,-0.0499512,0.199553
-0.0688795,-0.0501635,0.199483
-0.0695072,-0.050437,0.199354
-0.0700351,-0.0506581,0.199286
-0.0706631,-0.0509536,0.199164
-0.0711898,-0.051186,0.199104
-0.0718045,-0.0514999,0.198989
-0.072328,-0.0517394,0.198934
-0.0729361,-0.0520713,0.198826
-0.0734579,-0.0523246,0.198775
